Floor Size(SQFT),Number of Rooms,Number of Bathroom,Cluster Label,Amount(BDT)
750,2,2,6,10500
2600,3,3,1,100000
850,2,2,2,16000
1300,3,3,4,30000
6300,4,5,8,305000
1300,3,3,7,35000
1600,3,4,2,30000
2450,3,3,2,60000
1560,3,3,7,30000
2800,4,4,4,60000
2200,3,4,8,101000
2500,3,3,8,105000
920,2,2,9,16500
1900,3,3,1,50000
700,2,2,9,16000
2400,3,3,2,60000
1140,3,3,0,20000
1300,2,2,3,25000
1200,3,3,6,20000
1400,4,3,6,24000
850,2,2,9,16000
950,2,3,2,30000
1500,3,3,2,30000
2270,3,3,1,100000
2270,3,3,1,100000
1550,3,3,2,40000
