Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.789911,90.358764,980,3,3,13000
1,23.866179409909,90.398411367983,"1,800",3,3,37000
1,23.782146,90.423114,"1,250",3,3,30000
1,23.798814,90.372445,"1,000",2,2,15000
1,23.798814,90.372445,650,2,2,12000
1,23.782145,90.415916,"3,000",3,4,104000
1,23.750191,90.365664,"1,700",3,4,50000
1,23.750191,90.365664,"1,700",3,4,50000
1,23.750191,90.365664,"1,700",3,4,50000
1,23.750191,90.365664,"1,700",3,4,50000
1,23.863289,90.403481,900,2,2,23000
1,23.876277,90.387987,"1,600",3,4,50000
1,23.757504,90.373744,"2,495",5,4,60000
1,23.872612,90.387723,"1,450",3,3,25000
1,23.755073,90.370296,"1,100",3,3,40000
1,23.740902,90.379163,"2,268",3,4,62000
1,23.804695,90.381094,"1,553",3,3,22000
1,23.799176,90.422259,"3,400",4,4,105000
1,23.744342,90.38001,"2,200",3,3,55000
1,23.818218,90.427297,"2,150",3,4,35000
1,23.74691,90.398656,"1,350",3,3,30000
1,23.803256,90.419844,"4,000",4,4,205000
1,23.803256,90.419844,"2,500",3,3,103000
1,23.750191,90.365664,"1,800",3,4,55000
1,23.814238,90.41327,"1,385",3,4,40000
1,23.7403016,90.3896231,"1,500",3,3,35000
1,23.76709,90.360448,650,2,1,12000
1,23.874777,90.388188,800,2,2,13000
1,23.824158,90.371518,"1,200",3,3,21000
1,23.870317,90.385814,"1,100",2,2,20000
1,23.858573,90.400296,"2,000",2,2,30000
1,23.74182,90.371814,"1,200",3,3,20000
1,23.789129,90.366118,"1,050",3,2,15000
1,23.789129,90.366118,"1,050",3,2,15000
1,23.797531,90.424458,"3,100",4,4,105000
1,23.764329,90.429871,"1,200",3,3,20000
1,23.795805,90.414203,"5,200",5,4,302000
1,23.872612,90.387723,800,2,2,18000
1,23.874777,90.388188,600,2,1,11000
1,23.797531,90.424458,"2,500",4,5,70000
1,23.782145,90.415916,"2,730",3,4,70000
1,23.791935,90.407489,"6,000",6,8,405000
1,23.863289,90.403481,"1,600",4,4,35000
1,23.750062,90.41971,"1,300",3,3,26000
1,23.863289,90.403481,"1,785",3,3,38000
1,23.871732,90.397145,"1,850",3,3,42000
1,23.744306,90.409328,900,2,2,22000
1,23.801189,90.371518,800,2,2,12500
1,23.811952,90.371989,650,2,2,11000
1,23.7897,90.372253,"1,450",3,4,20000
1,23.871294,90.403087,"2,300",3,4,75000
1,23.801189,90.371518,820,2,2,10000
1,23.797748,90.38279,650,2,1,11000
1,23.865458,90.390566,800,2,1,16000
1,23.772133,90.356001,800,2,2,15000
1,23.877235,90.397145,"1,600",3,4,28000
1,23.74871,90.408078,"1,500",3,3,32000
1,23.74871,90.408078,"1,500",3,3,32000
1,23.74871,90.408078,"1,500",3,3,32000
1,23.748156,90.373361,"2,465",4,4,75000
1,23.772576,90.422154,"1,300",3,3,22000
1,23.798814,90.372445,750,2,2,13000
1,23.755396,90.40844,"1,350",3,3,31000
1,23.750435,90.404323,800,2,2,16000
1,23.863289,90.403481,"9,000",10,9,106000
1,23.750191,90.365664,"2,100",3,4,60000
1,23.863289,90.403481,"1,650",3,3,35000
1,23.74871,90.408078,"1,500",3,3,32000
1,23.801172,90.347604,"1,350",4,4,20000
1,23.771272,90.364716,"1,100",3,2,19000
1,23.7351068,90.3850278,870,2,2,20000
1,23.870317,90.385814,"2,000",3,3,32000
1,23.761337,90.443881,"1,600",4,4,30000
1,23.761337,90.443881,"1,550",4,3,30000
1,23.795805,90.414203,"5,400",4,5,305000
1,23.822702,90.442058,"1,800",3,4,25000
1,23.830766,90.424109,700,2,2,14000
1,23.798814,90.372445,975,3,2,15000
1,23.877235,90.397145,"1,600",3,4,28000
1,23.757988,90.442878,"1,050",3,3,14000
1,23.756224,90.391878,550,2,1,16000
1,23.871732,90.397145,"1,500",3,3,45000
1,23.859993,90.371694,900,3,3,30000
1,23.876277,90.387987,"1,500",3,4,50000
1,23.81203,90.393191,"1,100",3,3,16000
1,23.820661,90.433234,"1,850",3,3,30000
1,23.752206,90.368511,"1,435",3,3,40000
1,23.871732,90.397145,"2,200",3,3,70000
1,23.811821,90.364284,650,2,2,13000
1,23.7897,90.372253,600,2,2,10000
1,23.871294,90.403087,"2,900",4,4,80000
1,23.777989,90.352794,"1,200",3,3,20000
1,23.863289,90.403481,"2,000",3,3,80000
1,23.745485,90.372896,"1,900",3,3,45000
1,23.859993,90.371694,"1,800",3,3,30000
1,23.798048,90.367562,550,1,1,12000
1,23.798814,90.372445,"1,500",3,3,22000
1,23.870317,90.385814,"1,500",3,3,35000
1,23.811952,90.371989,950,3,2,15000
1,23.7897,90.372253,"1,200",3,3,20000
1,23.782145,90.415916,"25,900",21,10,2100000
1,23.759029,90.365737,"2,700",3,3,60000
1,23.818218,90.427297,"1,700",3,3,30000
1,23.820938,90.43861,"1,050",3,2,27000
1,23.872612,90.387723,"1,200",3,3,25000
1,23.808462,90.37748,"1,200",4,4,22000
1,23.822702,90.442058,"1,650",3,3,22000
1,23.798048,90.367562,500,1,1,8000
1,23.811821,90.364284,950,1,3,17000
1,23.798048,90.367562,850,2,2,14000
1,23.797916,90.368299,"1,700",3,3,35000
1,23.755396,90.40844,650,2,1,14000
1,23.74691,90.398656,"1,600",3,3,40000
1,23.866179409909,90.398411367983,"1,550",3,3,40000
1,23.874777,90.388188,"1,665",3,4,55000
1,23.818255,90.369541,650,2,2,10000
1,23.870317,90.385814,800,2,2,19100
1,23.818055,90.364187,"1,100",3,3,18000
1,23.870317,90.385814,"1,200",2,2,100000
1,23.75751,90.424947,850,2,2,15000
1,23.818255,90.369541,"1,200",3,3,16000
1,23.871294,90.403087,"1,600",3,3,40000
1,23.818055,90.364187,750,2,2,14000
1,23.804695,90.381094,"1,872",3,3,26000
1,23.826752,90.438958,"1,500",3,3,26000
1,23.837387,90.369139,"1,150",3,3,21000
1,23.834913,90.418402,800,2,2,21500
1,23.870317,90.385814,900,2,2,19000
1,23.820661,90.433234,"1,400",2,3,25000
1,23.883581,90.389312,"1,500",3,3,25000
1,23.856228,90.354444,"1,654",3,3,15000
1,23.750672,90.363168,950,3,3,22000
1,23.824158,90.371518,"1,150",3,3,21000
1,23.818218,90.427297,"1,700",3,3,30000
1,23.73994,90.41353,"1,400",3,2,32000
1,23.826752,90.438958,800,2,2,20000
1,23.74691,90.398656,"3,095",4,5,45000
1,23.754982,90.366631,"1,700",3,4,25000
1,23.782145,90.415916,"2,500",3,3,101000
1,23.748651,90.403677,850,2,2,22000
1,23.782145,90.415916,"8,000",4,5,305000
1,23.788729,90.400847,"2,200",3,3,70000
1,23.818055,90.364187,"1,100",3,3,18000
1,23.811821,90.364284,650,2,2,13000
1,23.788729,90.400847,"2,200",3,3,70000
1,23.803256,90.419844,"3,200",4,4,200000
1,23.803256,90.419844,"3,200",4,4,200000
1,23.863289,90.403481,"1,500",3,3,30000
1,23.750191,90.365664,"1,400",3,3,27000
1,23.750421,90.400147,900,2,2,25000
1,23.866179409909,90.398411367983,"1,370",3,4,30000
1,23.876277,90.387987,"1,600",3,4,65000
1,23.795834,90.390571,750,2,1,10000
1,23.750769,90.386965,900,3,3,30000
1,23.863289,90.403481,"2,200",4,4,50000
1,23.866179409909,90.398411367983,"1,500",3,3,30000
1,23.818218,90.427297,"1,700",3,3,30000
1,23.818218,90.427297,"1,700",3,3,30000
1,23.7897,90.372253,"1,200",3,2,19000
1,23.765011,90.346768,"1,250",3,3,18000
1,23.822702,90.442058,"1,970",3,4,32000
1,23.761526,90.43445,"1,075",3,2,21600
1,23.774379,90.412509,"2,550",4,5,60000
1,23.788729,90.400847,"2,200",3,3,70000
1,23.789054,90.401712,"2,048",3,3,70000
