Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.876277,90.387987,1600,3,4,50000
1,23.757504,90.373744,2495,5,4,60000
1,23.872612,90.387723,1450,3,3,25000
1,23.755073,90.370296,1100,3,3,40000
1,23.740902,90.379163,2268,3,4,62000
1,23.804695,90.381094,1553,3,3,22000
1,23.799176,90.422259,3400,4,4,105000
1,23.744342,90.38001,2200,3,3,55000
1,23.818218,90.427297,2150,3,4,35000
1,23.74691,90.398656,1350,3,3,30000
1,23.803256,90.419844,4000,4,4,205000
1,23.803256,90.419844,2500,3,3,103000
1,23.750191,90.365664,1800,3,4,55000
1,23.814238,90.41327,1385,3,4,40000
1,23.7403016,90.3896231,1500,3,3,35000
1,23.76709,90.360448,650,2,1,12000
1,23.874777,90.388188,800,2,2,13000
1,23.824158,90.371518,1200,3,3,21000
1,23.870317,90.385814,1100,2,2,20000
1,23.858573,90.400296,2000,2,2,30000
1,23.74182,90.371814,1200,3,3,20000
1,23.789129,90.366118,1050,3,2,15000
1,23.789129,90.366118,1050,3,2,15000
1,23.797531,90.424458,3100,4,4,105000
1,23.764329,90.429871,1200,3,3,20000
1,23.795805,90.414203,5200,5,4,302000
1,23.872612,90.387723,800,2,2,18000
1,23.874777,90.388188,600,2,1,11000
1,23.797531,90.424458,2500,4,5,70000
1,23.782145,90.415916,2730,3,4,70000
1,23.791935,90.407489,6000,6,8,405000
1,23.863289,90.403481,1600,4,4,35000
1,23.750062,90.41971,1300,3,3,26000
1,23.863289,90.403481,1785,3,3,38000
1,23.871732,90.397145,1850,3,3,42000
1,23.744306,90.409328,900,2,2,22000
1,23.801189,90.371518,800,2,2,12500
1,23.811952,90.371989,650,2,2,11000
1,23.7897,90.372253,1450,3,4,20000
1,23.871294,90.403087,2300,3,4,75000
1,23.801189,90.371518,820,2,2,10000
1,23.797748,90.38279,650,2,1,11000
1,23.865458,90.390566,800,2,1,16000
1,23.772133,90.356001,800,2,2,15000
1,23.877235,90.397145,1600,3,4,28000
1,23.74871,90.408078,1500,3,3,32000
1,23.74871,90.408078,1500,3,3,32000
1,23.74871,90.408078,1500,3,3,32000
1,23.748156,90.373361,2465,4,4,75000
1,23.772576,90.422154,1300,3,3,22000
1,23.798814,90.372445,750,2,2,13000
1,23.755396,90.40844,1350,3,3,31000
1,23.750435,90.404323,800,2,2,16000
1,23.863289,90.403481,9000,10,9,106000
1,23.750191,90.365664,2100,3,4,60000
1,23.863289,90.403481,1650,3,3,35000
1,23.74871,90.408078,1500,3,3,32000
1,23.801172,90.347604,1350,4,4,20000
1,23.771272,90.364716,1100,3,2,19000
1,23.7351068,90.3850278,870,2,2,20000
1,23.870317,90.385814,2000,3,3,32000
1,23.761337,90.443881,1600,4,4,30000
1,23.761337,90.443881,1550,4,3,30000
1,23.795805,90.414203,5400,4,5,305000
1,23.822702,90.442058,1800,3,4,25000
1,23.830766,90.424109,700,2,2,14000
1,23.798814,90.372445,975,3,2,15000
1,23.877235,90.397145,1600,3,4,28000
1,23.757988,90.442878,1050,3,3,14000
1,23.756224,90.391878,550,2,1,16000
1,23.871732,90.397145,1500,3,3,45000
1,23.859993,90.371694,900,3,3,30000
1,23.876277,90.387987,1500,3,4,50000
1,23.81203,90.393191,1100,3,3,16000
1,23.820661,90.433234,1850,3,3,30000
1,23.752206,90.368511,1435,3,3,40000
1,23.871732,90.397145,2200,3,3,70000
1,23.811821,90.364284,650,2,2,13000
1,23.7897,90.372253,600,2,2,10000
1,23.871294,90.403087,2900,4,4,80000
1,23.777989,90.352794,1200,3,3,20000
1,23.863289,90.403481,2000,3,3,80000
1,23.745485,90.372896,1900,3,3,45000
1,23.859993,90.371694,1800,3,3,30000
1,23.798048,90.367562,550,1,1,12000
